invoice_id,purchase_order_id,invoice_number,invoice_amount,invoice_date
296,4,0,18682.86,9/22/2025
297,44,7,39523.24,1/28/2026
298,9,4,16840.99,11/22/2025
299,49,1374,29718.94,11/26/2023
300,39,14,34493.34,3/9/2025
301,22,0,23742.53,3/3/2026
302,33,895,10706.38,12/27/2025
303,42,81,27116.16,8/29/2025
304,16,9,2349.62,12/20/2023
305,23,78,33613.96,7/26/2025
306,30,82146,20978.47,2/27/2026
307,25,654,13933.13,1/23/2024
308,35,99,36195.78,2/27/2023
309,47,65,45195.09,1/30/2026
310,5,00,12609.78,7/19/2023
311,12,3,1556.46,6/9/2023
312,21,71,21312.9,2/9/2025
313,11,6599,47653.62,9/13/2024
314,6,72,26019.46,7/3/2024
315,40,17,41242.8,1/18/2023
316,6,8,30296.18,1/5/2025
317,42,702,32854.76,12/11/2023
318,45,3706,12221.97,3/30/2025
319,25,116,25804.33,12/9/2025
320,40,6571,6463.2,7/26/2023
321,4,9034,45137.16,10/12/2025
322,21,6,27581.0,9/23/2024
323,31,8613,19964.22,2/5/2024
324,3,4528,21667.49,7/2/2023
325,40,655,43093.3,3/27/2023
326,27,485,5019.82,5/8/2026
327,8,17,8422.94,5/14/2023
328,30,72728,5514.25,12/14/2024
329,46,90031,37257.56,2/20/2026
330,16,3002,13894.55,3/23/2024
331,31,4279,9420.62,5/25/2024
332,23,085,47126.45,3/4/2026
333,48,66,41319.35,9/18/2024
334,8,781,14528.88,5/17/2025
335,32,0,26362.3,8/24/2023
336,43,5,16728.25,5/16/2023
337,6,3,17046.92,6/4/2025
338,43,8337,25628.08,10/17/2025
339,31,3,39636.95,4/4/2024
340,9,91,2819.31,9/28/2023
341,20,30,40958.95,9/17/2025
342,8,2455,5410.09,4/23/2024
343,14,7234,1387.45,8/13/2023
344,29,1015,3958.05,5/25/2026
345,28,82,46187.35,12/25/2024
346,3,17,42730.04,10/17/2025
347,23,359,7140.25,7/17/2023
348,4,5382,18617.14,6/5/2025
349,2,4,2041.56,2/1/2024
350,40,6675,45618.1,3/31/2025
351,48,1700,41234.23,5/22/2023
352,30,0247,31341.15,12/18/2023
353,18,86662,16000.34,1/20/2024
354,32,47,5912.55,1/25/2024
355,36,79,22424.33,4/26/2026
356,11,4372,41636.8,5/2/2023
357,45,7,17459.04,7/1/2025
358,50,67,26594.55,3/12/2025
359,12,0,41127.96,4/22/2024
360,41,7831,31907.25,6/19/2023
361,13,06441,27105.48,5/1/2023
362,49,6,12273.16,12/30/2023
363,24,8514,46158.85,3/28/2024
364,6,78730,46039.39,4/18/2024
365,21,324,49216.6,3/8/2025
366,4,627,24324.09,1/26/2025
367,11,84119,24824.13,4/13/2026
368,38,4,24914.61,6/22/2025
369,7,9,20321.36,5/21/2024
370,28,171,15634.03,11/26/2023
371,19,8,47255.39,9/30/2023
372,37,21567,14359.26,6/13/2023
373,37,6251,47791.93,5/6/2023
374,10,697,38074.0,4/19/2025
375,27,50,22528.23,1/18/2023
376,16,55154,29809.87,2/3/2026
377,20,533,47099.6,7/18/2025
378,11,3,38506.95,5/24/2026
379,5,04,20835.29,9/12/2025
380,28,39499,31239.53,6/17/2025
381,32,70,16766.46,9/6/2024
382,25,80237,37257.82,3/9/2026
383,38,90734,29207.27,10/12/2025
384,42,169,36627.14,2/3/2026
385,18,28,4113.6,10/26/2023
386,19,29,16786.26,6/27/2025
387,41,9413,41653.49,12/28/2023
388,37,69677,19231.89,5/6/2024
389,29,91197,14857.44,11/4/2024
390,24,65875,45211.17,9/16/2025
391,5,053,47712.41,3/14/2026
392,7,4,43003.46,4/11/2023
393,20,32,48982.85,5/28/2025
394,17,46,25305.83,4/22/2026
395,12,21,44299.58,5/2/2025
396,6,995,22974.11,4/26/2024
397,23,277,17937.77,10/14/2025
398,28,8682,46609.37,4/17/2023
399,28,4255,36408.91,11/28/2025
400,21,2245,14320.46,1/13/2025
401,37,2,21550.41,7/28/2023
402,50,46242,35666.96,7/8/2024
403,11,416,38365.94,6/18/2025
404,49,2148,48863.08,10/22/2024
405,17,3,18911.11,4/9/2025
406,6,30308,8903.71,4/23/2026
407,33,59884,33578.11,12/1/2024
408,33,6,21317.77,2/14/2024
409,14,86087,1483.96,6/24/2023
410,32,509,28982.96,6/2/2024
411,10,120,36992.82,4/24/2024
412,38,7,26263.0,7/18/2025
413,38,9,3799.66,3/24/2024
414,15,3,25883.09,1/13/2024
415,22,6,36886.75,10/6/2024
416,27,2892,18858.92,9/18/2024
417,6,428,3465.24,2/14/2026
418,34,9176,33828.42,2/13/2023
419,50,6146,29363.12,10/14/2025
420,25,7086,1487.65,2/10/2023
421,49,90,45791.27,4/21/2023
422,29,1,1494.18,3/26/2025
423,21,2,27238.68,3/23/2023
424,17,123,3660.74,7/21/2023
425,22,01105,8698.9,8/22/2023
426,29,44050,10439.19,1/31/2024
427,38,8,11404.73,9/27/2024
428,9,6,1556.34,5/22/2023
429,8,63,10729.6,10/7/2025
430,13,77,9986.92,2/20/2026
431,21,0,35535.18,4/10/2023
432,41,5417,47688.8,5/24/2025
433,28,08,6299.45,9/14/2025
434,15,81,33894.31,8/18/2025
435,29,2743,3732.43,2/10/2026
436,46,77,25821.23,5/25/2025
437,15,290,14676.54,4/1/2023
438,22,2824,22571.27,1/1/2024
439,5,81,39257.55,3/18/2023
440,26,44,8590.9,8/28/2023
441,5,4345,41692.82,1/16/2024
442,27,24,44431.16,4/30/2026
443,42,4,16345.8,5/15/2026
444,41,1659,40130.3,11/8/2023
445,24,6900,48120.95,1/10/2023
446,49,1,30282.62,2/28/2024
447,10,9002,18191.82,12/16/2023
448,35,6,46759.84,12/5/2023
449,5,39,49911.25,11/22/2025
450,4,58369,9494.24,12/13/2023
451,37,9,22763.89,9/2/2024
452,30,906,9566.79,3/5/2025
453,13,11,46367.2,5/2/2024
454,2,395,5415.07,8/4/2023
455,31,72107,30333.08,2/24/2025
456,38,98319,6147.84,4/16/2026
457,47,313,5699.73,2/16/2025
458,12,3913,21725.89,4/22/2026
459,40,533,36312.89,2/23/2026
460,45,75,5048.37,11/16/2023
461,11,762,38664.57,6/20/2024
462,33,502,46242.37,9/24/2023
463,23,97025,39838.93,5/16/2025
464,39,175,32723.25,10/23/2025
465,35,34758,16726.5,3/27/2026
466,26,59,49770.89,6/27/2024
467,19,1194,46892.45,12/13/2025
468,39,2,13852.64,10/14/2023
469,45,7,10079.86,8/4/2025
470,41,4,15347.0,7/14/2025
471,24,23,30569.04,12/6/2025
472,9,9425,36019.26,1/10/2023
473,29,3901,40446.72,12/31/2025
474,39,1592,1294.94,6/30/2023
475,9,52,36328.7,11/30/2023
476,10,44,23179.78,2/25/2026
477,22,9,10208.39,7/27/2023
478,4,14,34209.0,2/22/2025
479,6,1,44807.6,12/3/2024
480,33,48597,46248.65,6/12/2025
481,14,19550,39313.1,6/6/2024
482,40,89,20450.27,7/29/2024
483,38,59575,10212.65,5/23/2023
484,48,89,22095.73,1/31/2026
485,33,045,26840.48,1/23/2025
486,19,7786,13150.1,12/5/2025
487,13,34,5034.08,4/1/2023
488,5,035,13140.62,3/12/2026
489,5,8768,7240.66,1/15/2025
490,27,82,17176.8,5/8/2023
491,47,5,14609.76,5/18/2026
492,8,882,28832.94,2/6/2024
493,42,3,27594.34,12/23/2024
494,35,15458,29158.04,1/21/2023
495,32,8,14394.55,6/11/2025
496,6,45692,33251.19,9/19/2024
497,35,0946,43659.23,12/19/2025
498,13,9316,49169.27,9/26/2024
499,5,347,21832.52,3/20/2026
500,42,00,26523.11,2/4/2026
501,38,125,17451.72,11/4/2025
502,35,498,8593.14,5/20/2026
503,19,7,39529.08,1/16/2025
504,10,7,26053.21,7/21/2023
505,7,40581,38236.73,11/23/2024
506,4,984,29322.56,9/3/2024
507,9,44133,11569.73,2/20/2024
508,50,5907,24671.65,2/7/2025
509,48,33445,18196.23,3/29/2024
510,28,73,48831.92,8/22/2025
511,34,9086,45422.39,11/15/2024
512,16,72298,18780.45,1/6/2026
513,41,3868,31736.3,12/17/2025
514,39,24,18198.93,4/28/2023
515,34,07,27359.21,3/6/2024
516,36,76,9280.59,11/20/2025
517,47,063,17199.06,12/11/2024
518,13,38,1678.31,4/25/2024
519,12,66371,33022.05,1/19/2025
520,29,9250,2613.3,4/15/2025
521,46,5,16723.77,6/18/2025
522,43,3380,26028.72,12/11/2025
523,12,50,48061.56,1/9/2025
524,7,70,19547.12,2/24/2023
525,17,8,19769.02,2/18/2024
526,28,86,32260.72,8/20/2025
527,46,9643,15039.93,2/25/2023
528,2,14723,45424.09,2/11/2026
529,21,87532,23215.27,1/7/2025
530,45,93525,16776.82,8/28/2024
531,38,79,35653.42,11/26/2023
532,18,195,33269.93,11/2/2024
533,34,7,13084.3,7/11/2023
534,16,95,4971.65,5/31/2025
535,45,8,33135.64,3/3/2024
536,14,3334,36430.76,10/9/2024
537,10,16,8134.26,2/10/2023
538,10,8864,31172.09,12/6/2023
539,16,30825,2866.9,8/1/2023
540,36,2821,13794.61,5/17/2024
541,17,5435,20759.6,4/23/2026
542,38,21644,31869.65,3/4/2023
543,22,48924,27020.78,5/7/2023
544,4,28801,2657.64,4/11/2026
545,45,23,3994.06,1/25/2025
546,9,9,18389.27,5/4/2023
547,47,8907,47993.07,8/20/2025
548,24,9254,4920.75,12/4/2024
549,20,52,8298.96,9/22/2025
550,42,6474,28884.84,12/22/2025
551,25,227,28690.24,4/12/2023
552,43,74,35413.57,12/12/2025
553,1,5931,13423.02,4/9/2024
554,36,55853,17620.93,3/26/2025
555,20,4,6807.11,6/8/2024
556,17,3,1893.12,6/6/2023
557,6,2352,29427.63,9/24/2024
558,21,63021,27328.26,1/16/2024
559,44,866,14930.48,3/27/2026
560,25,4460,31258.57,2/2/2023
561,12,87,21434.06,4/15/2025
562,47,6971,6018.84,12/1/2023
563,15,31945,10525.32,8/19/2023
564,7,4,48813.15,11/5/2023
565,23,361,47576.31,1/17/2025
566,11,04186,21731.16,9/25/2024
567,50,104,14465.53,12/16/2025
568,8,04,32019.81,1/30/2025
569,43,3,3982.72,3/30/2025
570,21,26,22260.0,11/19/2023
571,15,98,8355.75,5/10/2023
572,26,540,49827.96,1/28/2023
573,34,480,13164.17,12/30/2024
574,45,57,36134.31,7/28/2025
575,3,68,41248.54,3/6/2024
576,12,87,30720.88,6/3/2023
577,26,907,30806.16,8/8/2025
578,40,952,18562.28,11/3/2024
579,48,99058,24478.77,6/30/2025
580,21,602,48461.22,9/21/2024
581,46,7505,27621.42,3/6/2024
582,17,7,12568.77,6/4/2023
583,11,3852,7249.27,1/24/2023
584,45,2758,40950.94,3/31/2023
585,28,1,4928.94,3/2/2025
586,18,221,46939.58,9/17/2025
587,6,52,49576.26,8/16/2024
588,22,45,33126.69,6/30/2023
589,29,6603,21159.14,9/13/2023
590,12,169,43443.65,7/18/2025
591,33,643,23122.74,5/16/2026
592,12,5,26666.09,9/25/2024
593,27,86,41918.43,3/16/2026
594,9,77,49549.72,2/26/2023
595,25,3,4469.33,8/6/2025
596,6,9656,6993.44,12/23/2024
597,40,1977,17146.42,8/17/2023
598,34,69469,17963.32,8/20/2025
599,26,01556,10480.91,4/17/2025
600,25,51,31442.98,3/9/2025
601,41,07,42370.33,2/9/2023
602,22,22263,34103.8,10/16/2023
603,11,262,24824.9,10/17/2024
604,23,041,23020.52,6/6/2024
605,16,60149,44504.43,11/24/2023
606,1,5,44924.5,4/27/2024
607,17,71,6606.66,4/11/2023
608,34,5396,9578.7,1/18/2024
609,3,986,46312.56,12/13/2025
610,11,11852,24755.71,1/21/2025
611,2,05492,45914.05,4/15/2025
612,1,917,4572.49,12/27/2025
613,36,7,34883.83,10/17/2024
614,5,64330,36254.62,6/19/2024
615,11,1842,28820.69,3/23/2025
616,25,4,45597.99,1/7/2023
617,35,28,30722.39,3/4/2026
618,44,1,10378.89,7/10/2023
619,2,319,16106.29,5/14/2025
620,10,0,14270.08,2/18/2023
621,49,96829,36591.68,2/19/2024
622,40,12048,10709.38,4/25/2025
623,21,83,11394.59,5/7/2025
624,23,67148,17042.2,6/12/2024
625,20,04323,16898.58,7/22/2024
626,42,277,10091.2,3/20/2024
627,23,7,10012.81,2/13/2024
628,50,453,7720.24,8/19/2025
629,7,9564,29624.21,2/14/2026
630,22,87051,11813.95,1/30/2025
631,49,7,17722.68,1/6/2023
632,2,8,39504.96,5/16/2026
633,33,011,15163.97,7/21/2024
634,22,039,47880.95,9/21/2023
635,28,57430,40919.47,1/13/2026
636,9,0,26108.57,11/8/2023
637,37,52008,45402.35,3/20/2023
638,33,4,36202.68,11/16/2024
639,26,233,4908.01,1/8/2024
640,7,01,30382.84,6/17/2023
641,40,65778,11080.66,11/2/2024
642,37,5838,28591.45,12/2/2024
643,29,002,21399.96,12/4/2024
644,39,2,22629.68,12/1/2023
645,5,26,49166.11,4/26/2024
646,31,17,15370.65,4/7/2025
647,20,42,48676.2,9/21/2023
648,17,263,47654.16,3/3/2026
649,45,44220,21194.65,2/21/2024
650,6,1,48609.42,5/8/2026
651,23,6,7232.12,11/21/2025
652,1,60,16910.37,3/3/2023
653,13,183,23305.48,3/27/2024
654,7,6523,23492.74,11/12/2025
655,43,17500,6831.62,2/17/2024
656,17,315,1087.22,2/7/2024
657,32,5877,47741.44,10/7/2023
658,5,4068,21789.45,2/1/2024
659,47,09728,22290.37,8/11/2025
660,44,384,35305.2,2/1/2025
661,16,3,3970.79,2/9/2025
662,29,49328,8969.53,10/29/2023
663,36,8299,27567.64,5/25/2023
664,18,32035,11869.81,5/10/2025
665,26,89010,18797.62,1/11/2023
666,16,9841,34138.78,1/15/2023
667,50,64946,19632.62,8/10/2023
668,44,616,1276.02,5/13/2023
669,5,44018,44197.34,1/20/2024
670,25,40,37171.14,7/18/2024
671,26,8,26740.59,4/1/2023
672,6,3929,28878.4,2/14/2024
673,40,51622,35929.8,1/24/2024
674,14,97,6282.87,5/9/2025
675,34,9,24416.93,11/28/2025
676,12,57281,37617.68,6/15/2025
677,28,15,20427.29,8/23/2025
678,23,48275,47418.42,9/20/2023
679,3,1324,15492.87,1/10/2023
680,32,5151,11417.34,7/1/2025
681,47,4,22434.94,11/9/2023
682,37,7606,18625.85,4/23/2024
683,14,39,32243.38,7/31/2023
684,50,71,18894.61,5/4/2024
685,9,504,15880.36,4/7/2025
686,12,6,28953.14,3/16/2025
687,19,604,41141.78,2/21/2023
688,43,44290,47228.23,6/6/2023
689,50,19448,15302.67,7/4/2025
690,32,2,37925.71,5/19/2025
691,37,4712,26929.29,4/27/2024
692,22,5,44024.41,6/13/2025
693,38,3,12684.94,1/1/2023
694,5,42,11539.9,2/2/2023
695,40,6296,2697.28,12/15/2024
696,23,70734,21209.48,5/22/2026
697,26,4,38923.06,4/25/2025
698,45,38066,38328.1,8/10/2025
699,24,78,33738.79,10/30/2025
700,44,6033,35772.98,1/4/2026
701,13,0550,22103.87,12/14/2024
702,47,075,9260.83,2/28/2026
703,47,59545,45732.84,4/8/2026
704,41,295,26163.26,11/25/2024
705,41,32,10356.4,6/22/2023
706,15,65,40771.27,9/20/2023
707,41,3890,26189.6,3/20/2024
708,50,73166,44545.35,3/13/2024
709,36,72810,35038.82,6/20/2024
710,25,7,41818.48,5/1/2026
711,10,38480,5281.39,2/11/2024
712,25,751,34368.81,1/16/2025
713,40,4,37046.43,6/15/2025
714,9,7181,42725.88,1/5/2024
715,3,5,47160.18,5/29/2025
716,26,218,37708.55,7/23/2023
717,15,469,8026.92,8/22/2023
718,11,32,46417.87,5/24/2023
719,3,7,40319.64,1/13/2024
720,27,425,19301.5,1/31/2025
721,23,33,15379.66,1/5/2023
722,7,22720,44308.75,1/30/2024
723,4,97231,8938.57,3/5/2024
724,44,09,40387.01,12/19/2024
725,22,52730,31392.46,5/31/2024
726,5,8623,12180.07,4/2/2025
727,2,500,37124.64,12/2/2023
728,3,9205,49721.93,12/2/2023
729,4,629,30055.04,10/7/2023
730,28,73535,20601.17,4/22/2023
731,7,1,31033.33,3/25/2023
732,50,77,1093.43,12/6/2024
733,36,01,14848.38,2/15/2025
734,41,7136,18455.3,7/2/2025
735,3,44753,19825.02,2/1/2023
736,14,0,37429.42,10/2/2025
737,35,354,14623.33,1/2/2024
738,23,138,46562.19,6/2/2025
739,31,7,29648.06,3/21/2025
740,14,1204,11891.49,4/22/2023
741,2,6209,48740.43,1/13/2025
742,38,912,16842.04,8/5/2025
743,15,211,38685.7,4/22/2024
744,35,07481,2029.19,7/31/2023
745,1,5591,29789.41,3/26/2025
746,48,0019,27496.33,6/23/2025
747,13,14,9789.12,4/5/2024
748,23,6,3291.72,8/25/2025
749,17,765,2198.83,6/29/2025
750,3,4818,39975.2,7/9/2024
751,16,885,41442.85,9/29/2024
752,27,602,31842.28,1/20/2025
753,31,8,15540.92,1/4/2023
754,46,205,25753.61,5/19/2024
755,28,348,13860.49,3/7/2026
756,12,025,4897.55,9/26/2023
757,35,543,13584.91,12/14/2025
